classe,arrondissement,item,nom_doc,url,adresse,code_postal,erreurs,nom_txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,12 rue Chateauredon : Arrêté de péril du 14/12/2018 - Main Levée partielle du 20/02/2019 - Interdiction d'occuper du 29/11/2019 - Arrêté modificatif du 17/01/2020,Main Levée partielle du 20/02/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/12-RUE-CHATEAUREDON-13001_ML_PARTIELLE_2019_00604.pdf,12 rue Chateauredon,13001.0,False,12-RUE-CHATEAUREDON-13001_ML_PARTIELLE_2019_00604.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,12 rue Chateauredon : Arrêté de péril du 14/12/2018 - Main Levée partielle du 20/02/2019 - Interdiction d'occuper du 29/11/2019 - Arrêté modificatif du 17/01/2020,Interdiction d'occuper du 29/11/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/ppm_12-rue-chateauredon-13001_2019_04097_vdm.pdf,12 rue Chateauredon,13001.0,True,ppm_12-rue-chateauredon-13001_2019_04097_vdm.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,12 rue Chateauredon : Arrêté de péril du 14/12/2018 - Main Levée partielle du 20/02/2019 - Interdiction d'occuper du 29/11/2019 - Arrêté modificatif du 17/01/2020,Arrêté modificatif du 17/01/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/12-rue-chateauredon-13001_2020-01-13_pgi_modif_00053.pdf,12 rue Chateauredon,13001.0,False,12-rue-chateauredon-13001_2020-01-13_pgi_modif_00053.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,21 rue des Petites Maries : Arrêté de péril du 17/12/2018 - Main levée du 12/02/2019,Arrêté de péril du 17/12/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/21-RUE-DES-PETITES-MARIES-13001_2018_03366.pdf,21 rue des Petites Maries,13001.0,False,21-RUE-DES-PETITES-MARIES-13001_2018_03366.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,21 rue des Petites Maries : Arrêté de péril du 17/12/2018 - Main levée du 12/02/2019,Main levée du 12/02/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/21-RUE-DES-PETITES-MARIES-13001_ML_2019_00499.pdf,21 rue des Petites Maries,13001.0,False,21-RUE-DES-PETITES-MARIES-13001_ML_2019_00499.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,15 rue Saint-Bazile : Arrêté de péril du 17/12/20108 - Main levée partielle du 24/01/2020,Arrêté de péril du 17/12/20108,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/15-RUE-SAINT-BAZILE-13001_2018_03368.pdf,15 rue Saint-Bazile,13001.0,False,15-RUE-SAINT-BAZILE-13001_2018_03368.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,15 rue Saint-Bazile : Arrêté de péril du 17/12/20108 - Main levée partielle du 24/01/2020,Main levée partielle du 24/01/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/mlp_15-rue-saint-bazile-13001_pgi_2020_00184_vdm.pdf,15 rue Saint-Bazile,13001.0,False,mlp_15-rue-saint-bazile-13001_pgi_2020_00184_vdm.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,38 rue du Tapis Vert : Arrêté de péril du 17/12/2018 - Main levée du 05/02/2019 – Arrêté de main levée du 16/03/2021,Arrêté de péril du 17/12/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/38-RUE-DU-TAPIS-VERT-13001_2018_03386.pdf,38 rue du Tapis Vert,13001.0,False,38-RUE-DU-TAPIS-VERT-13001_2018_03386.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,38 rue du Tapis Vert : Arrêté de péril du 17/12/2018 - Main levée du 05/02/2019 – Arrêté de main levée du 16/03/2021,Main levée du 05/02/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/38-RUE-DU-TAPIS-VERT-13001_ML_2019_00426.pdf,38 rue du Tapis Vert,13001.0,False,38-RUE-DU-TAPIS-VERT-13001_ML_2019_00426.txt
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,38 rue du Tapis Vert : Arrêté de péril du 17/12/2018 - Main levée du 05/02/2019 – Arrêté de main levée du 16/03/2021,Arrêté de main levée du 16/03/2021,https://www.marseille.fr/sites/default/files/contenu/logement/PDF_Concertations/38-rue-du-tapis-vert-13001_ml_2021_00773_16-mars-2021.pdf,38 rue du Tapis Vert,13001.0,True,38-rue-du-tapis-vert-13001_ml_2021_00773_16-mars-2021.txt
