adresse,code_postal,ville,adrs
132 boulevard Baille,13005,Marseille,132 boulevard Baille
24 rue de l'Eglise Saint Michel,13005,Marseille,24 rue de l'Eglise Saint Michel
35 rue de Lodi,13006,Marseille,35 rue de Lodi
65 rue Nau,13005,Marseille,65 rue Nau
71 rue de la Loubière,13005,Marseille,71 rue de la Loubière
12 rue Château du Mûrier,13005,Marseille,12 rue Château du Mûrier
87 rue Saint-Savournin,13005,Marseille,87 rue Saint-Savournin
45 place Jean Jaurès,13005,Marseille,45 place Jean Jaurès
33 boulevard Eugène Pierre,13005,Marseille,33 boulevard Eugène Pierre
83 rue Terrusse,13005,Marseille,83 rue Terrusse
43 place Jean Jaurès,13005,Marseille,43 place Jean Jaurès
37 rue Fernand Pauriol,13005,Marseille,37 rue Fernand Pauriol
35 rue Fernand Pauriol,13005,Marseille,35 rue Fernand Pauriol
3 rue Horace Bertin,13005,Marseille,3 rue Horace Bertin
27 rue Saint-Pierre,13005,Marseille,27 rue Saint-Pierre
162 rue Saint-Pierre,13005,Marseille,162 rue Saint-Pierre
275 rue Saint-Pierre,13005,Marseille,275 rue Saint-Pierre
7 rue de Bruys,13005,Marseille,7 rue de Bruys
7 rue du Portail,13005,Marseille,7 rue du Portail
4 rue de l'Olivier,13005,Marseille,4 rue de l'Olivier
28 rue Melchion - Main-levée du 06/10/2020,13005,Marseille,28 rue Melchion - Main-levée du 06/10/2020
4bis rue Ferrari  –,13005,Marseille,4bis rue Ferrari  –
24 rue de l'église Saint-Michel,13005,Marseille,24 rue de l'église Saint-Michel
58 rue Saint-Pierre,13005,Marseille,58 rue Saint-Pierre
161 boulevard Baille,13005,Marseille,161 boulevard Baille
29 cours Lieutaud,13006,Marseille,29 cours Lieutaud
7 rue du Village,13006,Marseille,7 rue du Village
9 rue du Village,13006,Marseille,9 rue du Village
6/6A rue des Tartares et 13 rue des Amoureux,13006,Marseille,6/6A rue des Tartares et 13 rue des Amoureux
64 cours Julien,13006,Marseille,64 cours Julien
29 rue Saint Suffren,13006,Marseille,29 rue Saint Suffren
88 cours Gouffé,13006,Marseille,88 cours Gouffé
24 rue Pierre Dupré,13006,Marseille,24 rue Pierre Dupré
26 rue de Guinée,13006,Marseille,26 rue de Guinée
1 rue Lafon,13006,Marseille,1 rue Lafon
62 cours Julien,13006,Marseille,62 cours Julien
83 rue Marengo,13006,Marseille,83 rue Marengo
53 rue des Trois Frères Barthélemy,13006,Marseille,53 rue des Trois Frères Barthélemy
19 rue d'Italie,13006,Marseille,19 rue d'Italie
27 rue Bonnefoy,13006,Marseille,27 rue Bonnefoy
5 rue du Village,13006,Marseille,5 rue du Village
43 rue du docteur Jean Fiolle,13006,Marseille,43 rue du docteur Jean Fiolle
139 Cours Lieutaud,13006,Marseille,139 Cours Lieutaud
6 rue André Poggioli,13006,Marseille,6 rue André Poggioli
36 rue Jean Roque,13006,Marseille,36 rue Jean Roque
49 rue des Bons Enfants,13006,Marseille,49 rue des Bons Enfants
10 Cours Julien,13006,Marseille,10 Cours Julien
34 rue Jean Roque,13006,Marseille,34 rue Jean Roque
40 rue Jean Roque,13006,Marseille,40 rue Jean Roque
4 rue Saint-Pierre,13006,Marseille,4 rue Saint-Pierre
138 rue de Rome,13006,Marseille,138 rue de Rome
80 rue Perrin Solliers,13006,Marseille,80 rue Perrin Solliers
12 rue des Vignerons,13006,Marseille,12 rue des Vignerons
10 rue des Bons Enfants,13006,Marseille,10 rue des Bons Enfants
56 rue de la Loubière,13006,Marseille,56 rue de la Loubière
81 rue d'Italie,13006,Marseille,81 rue d'Italie
32 rue Fongate,13006,Marseille,32 rue Fongate
18 rue Berlioz,13006,Marseille,18 rue Berlioz
87 rue de Rome,13006,Marseille,87 rue de Rome
29 rue d'italie,13006,Marseille,29 rue d'italie
29 rue Nau,13006,Marseille,29 rue Nau
27 rue Nau,13006,Marseille,27 rue Nau
85 rue de la Palud,13006,Marseille,85 rue de la Palud
75 rue de Rome / 64 rue de la Palud,13006,Marseille,75 rue de Rome
75 rue de Rome / 64 rue de la Palud,13006,Marseille,64 rue de la Palud
