classe,arrondissement,item,nom_doc,url,adresse,code_postal,ville,doc_grp_idx,doc_grp_rel_idx,adrs,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_citycode,result_district,erreurs,nom_txt,nom_pdf,err_missing_pdf,err_bad_url,err_missing_txt,err_bad_pdf,err_date,err_adresse,err_pathologies
Arrêtés d'insécurité imminente des équipements communs,,130 avenue Corot - Bât A - 13013,130 avenue Corot - Bât A - 13013,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/130-avenue-Corot-bat-A-pi_2018_03014.pdf,130 avenue Corot - Bât A,13013.0,Marseille,537,0,130 avenue Corot - Bât A,43.324117,5.404142,130 Avenue Corot 13013 Marseille,0.83,housenumber,13213_2566_00130,130,Avenue Corot,,13013,Marseille,13213,Marseille 13e Arrondissement,False,130-avenue-Corot-bat-A-pi_2018_03014.txt,130-avenue-Corot-bat-A-pi_2018_03014.pdf,False,False,False,False,False,False,False
Arrêtés d'insécurité imminente des équipements communs,,15 boulevard Charpentier - 13003,15 boulevard Charpentier - 13003,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/15-boulevard-charpentier-13003_2019_01162.pdf,15 boulevard Charpentier,13003.0,Marseille,538,0,15 boulevard Charpentier,43.318596,5.375648,15 Boulevard Charpentier 13003 Marseille,0.97,housenumber,13203_2118_00015,15,Boulevard Charpentier,,13003,Marseille,13203,Marseille 3e Arrondissement,False,15-boulevard-charpentier-13003_2019_01162.txt,15-boulevard-charpentier-13003_2019_01162.pdf,False,False,False,False,False,False,False
Arrêtés d'insécurité imminente des équipements communs,,90 boulevard Sainte Marguerite - 13009 - Main Levée du 24/11/2020,90 boulevard Sainte Marguerite - 13009,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/arrete_insecurite_90-bld-sainte-marguerite-13009_2019_04034_vdm.pdf,90 boulevard Sainte Marguerite,13009.0,Marseille,539,0,90 boulevard Sainte Marguerite,43.268162,5.406341,90 Boulevard de Sainte Marguerite 13009 Marseille,0.92,housenumber,13209_8551_00090,90,Boulevard de Sainte Marguerite,,13009,Marseille,13209,Marseille 9e Arrondissement,False,arrete_insecurite_90-bld-sainte-marguerite-13009_2019_04034_vdm.txt,arrete_insecurite_90-bld-sainte-marguerite-13009_2019_04034_vdm.pdf,False,False,False,False,False,False,False
Arrêtés d'insécurité imminente des équipements communs,,90 boulevard Sainte Marguerite - 13009 - Main Levée du 24/11/2020,Main Levée du 24/11/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml-90-bd-st-marguerite-13009_2020_02777.pdf,90 boulevard Sainte Marguerite,13009.0,Marseille,539,1,90 boulevard Sainte Marguerite,43.268162,5.406341,90 Boulevard de Sainte Marguerite 13009 Marseille,0.92,housenumber,13209_8551_00090,90,Boulevard de Sainte Marguerite,,13009,Marseille,13209,Marseille 9e Arrondissement,False,ml-90-bd-st-marguerite-13009_2020_02777.txt,ml-90-bd-st-marguerite-13009_2020_02777.pdf,False,False,False,False,False,False,False
Arrêtés d'insécurité imminente des équipements communs,,Traverse Kaddouz - rue de la Maurelle - 13013,Traverse Kaddouz - rue de la Maurelle - 13013,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/insecurite_2020_03062_vdm.pdf,Traverse Kaddouz - rue de la Maurelle,13013.0,Marseille,540,0,Traverse Kaddouz - rue de la Maurelle,43.322417,5.438848,Traverse de la Maurelle 13013 Marseille,0.75,street,13213_wbp5i1,,Traverse de la Maurelle,,13013,Marseille,13213,Marseille 13e Arrondissement,False,insecurite_2020_03062_vdm.txt,insecurite_2020_03062_vdm.pdf,False,False,False,False,True,False,False
Arrêtés d'interdiction d'occuper,1er arrondissement,13 rue de la Fare - 13001,13 rue de la Fare - 13001,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/13-rue-de-la-fare-13001_2018_03015.pdf,13 rue de la Fare,13001.0,Marseille,541,0,13 rue de la Fare,43.300678,5.378052,13 Rue de la Fare 13001 Marseille,0.97,housenumber,13201_3346_00013,13,Rue de la Fare,,13001,Marseille,13201,Marseille 1er Arrondissement,False,13-rue-de-la-fare-13001_2018_03015.txt,13-rue-de-la-fare-13001_2018_03015.pdf,False,False,False,False,False,False,False
Arrêtés d'interdiction d'occuper,1er arrondissement,18 rue Saint-Saëns - 13001,18 rue Saint-Saëns - 13001,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/interdiction_occuper_18-rue-saint-saens-13001_2019_01698.pdf,18 rue Saint-Saëns,13001.0,Marseille,544,0,18 rue Saint-Saëns,43.293844,5.375203,18 Rue Saint Saens 13001 Marseille,0.97,housenumber,13201_8457_00018,18,Rue Saint Saens,,13001,Marseille,13201,Marseille 1er Arrondissement,False,interdiction_occuper_18-rue-saint-saens-13001_2019_01698.txt,interdiction_occuper_18-rue-saint-saens-13001_2019_01698.pdf,False,False,False,False,False,False,False
Arrêtés d'interdiction d'occuper,1er arrondissement,5 rue Pisançon - 13001 : Interdiction occuper du 23/05/2019 - Abrogation du 03/07/2019,Interdiction occuper du 23/05/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/interdiction_occuper_5_rue_pisancon-13001_2019_01700.pdf,5 rue Pisançon,13001.0,Marseille,545,0,5 rue Pisançon,43.294228,5.378716,5 Rue Pisancon 13001 Marseille,0.96,housenumber,13201_7271_00005,5,Rue Pisancon,,13001,Marseille,13201,Marseille 1er Arrondissement,False,interdiction_occuper_5_rue_pisancon-13001_2019_01700.txt,interdiction_occuper_5_rue_pisancon-13001_2019_01700.pdf,False,False,False,False,False,False,False
Arrêtés d'interdiction d'occuper,1er arrondissement,5 rue Pisançon - 13001 : Interdiction occuper du 23/05/2019 - Abrogation du 03/07/2019,Abrogation du 03/07/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/abrogation_5-rue-pisancon-13001_2019_02224.pdf,5 rue Pisançon,13001.0,Marseille,545,1,5 rue Pisançon,43.294228,5.378716,5 Rue Pisancon 13001 Marseille,0.96,housenumber,13201_7271_00005,5,Rue Pisancon,,13001,Marseille,13201,Marseille 1er Arrondissement,False,abrogation_5-rue-pisancon-13001_2019_02224.txt,abrogation_5-rue-pisancon-13001_2019_02224.pdf,False,False,False,False,False,False,False
Arrêtés d'interdiction d'occuper,1er arrondissement,81 rue de Curiol - 13001,81 rue de Curiol - 13001,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/interdiction_occuper_81-rue-de-curiol-13001_2019_01699.pdf,81 rue de Curiol,13001.0,Marseille,546,0,81 rue de Curiol,43.295543,5.385715,81 Rue Curiol 13001 Marseille,0.88,housenumber,13201_2657_00081,81,Rue Curiol,,13001,Marseille,13201,Marseille 1er Arrondissement,False,interdiction_occuper_81-rue-de-curiol-13001_2019_01699.txt,interdiction_occuper_81-rue-de-curiol-13001_2019_01699.pdf,False,False,False,False,False,False,False
