cause,classe,arrondissement,item,nom_doc,url,adresse,code_postal,erreurs,nom_txt
Problème date,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,47 rue de la Palud - 13001 : Interdiction d'occuper du 08/10/2020 - Arrêté de péril ordinaire du 18/12/2020,Interdiction d'occuper du 08/10/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/ppm_47-rue-de-la-palud-13001_2020_02307_vdm.pdf,47 rue de la Palud,13001.0,True,ppm_47-rue-de-la-palud-13001_2020_02307_vdm.txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,47 rue de la Palud - 13001 : Interdiction d'occuper du 08/10/2020 - Arrêté de péril ordinaire du 18/12/2020,Arrêté de péril ordinaire du 18/12/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/po_47-rue-de-la-palud-13001_2020_03045_vdm.pdf,47 rue de la Palud,13001.0,True,po_47-rue-de-la-palud-13001_2020_03045_vdm.txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,4 rue de la Palud et 27 rue de Rome  Arrêté de mise en sécurité urgente du 19/01/2021,Arrêté de mise en sécurité urgente du 19/01/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/4-rue-de-la-palud_27rue-de-rome_-13001_mes_pu_ndeg2021_00184.pdf,4 rue de la Palud et 27 rue de Rome,13001.0,True,4-rue-de-la-palud_27rue-de-rome_-13001_mes_pu_ndeg2021_00184.txt
Problème date,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,19 rue Espérandieu   Arrêté de mise en place d'un périmètre de sécurité du 20/01/2021   Arrêté de mise en place d'unpérimètre de sécurité du 10/02/21,Arrêté de mise en place d'un périmètre de sécurité du 20/01/2021,https://www.marseille.fr/sites/default/files/contenu/19-rue-esperandieu-13001_perimetre_securite_2021_00249_1.pdf,19 rue Espérandieu,13001.0,True,19-rue-esperandieu-13001_perimetre_securite_2021_00249_1.txt
Problème date,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,29 allées Léon Gambetta  Arrêté d'interdiction d'occupation partielle du 16 février 2021,Arrêté d'interdiction d'occupation partielle du 16 février 2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/29_allee_leon_gambetta_13001_ppm_2021_00524.pdf,29 allées Léon Gambetta,13001.0,True,29_allee_leon_gambetta_13001_ppm_2021_00524.txt
Problème date,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,8 rue des Recolettes   Arrêté d'interdiction d'occupation et d'utilisation d'un logemen (16 février 2021),Arrêté d'interdiction d'occupation et d'utilisation d'un logemen (16 février 2021),https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/8_rue_de_recolettes_13001_ppm_2021_00525.pdf,8 rue des Recolettes,13001.0,True,8_rue_de_recolettes_13001_ppm_2021_00525.txt
Problème date,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,39 rue du Tapis Vert   Arrêté de mise en sécurité urgente du 25/02/21 - Arrêté modificatif du 03/03/21, Arrêté modificatif du 03/03/21,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/39-rue-tapis-vert-13001_2021_00674.pdf,39 rue du Tapis Vert,13001.0,True,39-rue-tapis-vert-13001_2021_00674.txt
Problème date,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,12-14 rue de Beaumont   Arrêté de mise en sécurité du 03/03/2021, Arrêté de mise en sécurité du 03/03/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/12-14-rue-beaumont-13001_m.s_2021_00699_03-mars-2021.pdf,12-14 rue de Beaumont,13001.0,True,12-14-rue-beaumont-13001_m.txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,73 allées Léon Gambetta : Arrêté de mise en sécurité du 16/03/2021,Arrêté de mise en sécurité du 16/03/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/73-allee-leon-gambetta_13001_mes_2021_00749_16.03.2021.pdf,73 allées Léon Gambetta,13001.0,True,73-allee-leon-gambetta_13001_mes_2021_00749_16.txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,45 boulevard de la Liberté : Arrêté de mise en sécurité de l'immeuble du 23/03/2021,Arrêté de mise en sécurité de l'immeuble du 23/03/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/45-boulevard-de-la-liberte-13001_ms_2021_00855_vdm_du_23.03.21.pdf,45 boulevard de la Liberté,13001.0,True,45-boulevard-de-la-liberte-13001_ms_2021_00855_vdm_du_23.txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",1er arrondissement,79 La Canebière : Arrêté de mise en sécurité de l'immeuble du 23/03/2021,Arrêté de mise en sécurité de l'immeuble du 23/03/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/79-canbiere-13001_ms_2021_00841_vdm_du_23.03.21.pdf,79 La Canebière,13001.0,True,79-canbiere-13001_ms_2021_00841_vdm_du_23.txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",2ème arrondissement,33 rue Mazenod : Arrêté de péril du 15/11/2018 - Main Levée partielle du 15/05/2019- Main Levée partielle (arrêté modificatif) du 17/06/2019,Arrêté de péril du 15/11/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/33-rue-mazenod-arrete_pi_2018_02932-final.pdf,33 rue Mazenod,13002.0,True,33-rue-mazenod-arrete_pi_2018_02932-final.txt
Problème pathologies,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",2ème arrondissement,115 rue de l’Évêché - Main-Levée du 23/12/2019, Main-Levée du 23/12/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/ml-115-rue-de-l-eveche-13002_2019_04465.pdf,115 rue de l’Évêché,13002.0,True,ml-115-rue-de-l-eveche-13002_2019_04465.txt
Problème date,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",2ème arrondissement,71 rue Château Joly - Main levée du 16/10/2020,Main levée du 16/10/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/71-rue-chateau-joly-13002_2020_02404.pdf,71 rue Château Joly,13002.0,True,71-rue-chateau-joly-13002_2020_02404.txt
Problème date,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",2ème arrondissement,37 rue Pierre Albrand : Arrêté de péril du 10/05/2019 - Arrêté de péril modificatif du 13/08/2019 - Main levée du 05/09/2019 - Arrêté de péril du 11/12/2019 - Main Levée du 09/03/2021,Main Levée du 09/03/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml-37-rue-pierre-albrand-13002_2021_00709.pdf,37 rue Pierre Albrand,13002.0,True,ml-37-rue-pierre-albrand-13002_2021_00709.txt
Problème date,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",2ème arrondissement,4 rue de la Butte  Arrêté de déconstruction du 30/08/2019 -  abrogation de l'arrêté de déconstruction - 17/08/2020,abrogation de l'arrêté de déconstruction - 17/08/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-deconstruction/abro_de_decontruction_n2020_01647_vdm-4-rue-de-la-butte-13002.pdf,4 rue de la Butte,13002.0,True,abro_de_decontruction_n2020_01647_vdm-4-rue-de-la-butte-13002.txt
Problème date,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",2ème arrondissement,6 rue de la Butte  Arrêté d'interdiction d'occupation de l'immeuble du 07/06/2019    Arrêté de péril grave et imminent du 10/07/2019   Abrogation de l'arrêté de déconstruction - 17/08/2020,Abrogation de l'arrêté de déconstruction - 17/08/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-deconstruction/abro_de_deconstruction_2020_01648_vdm-6-rue-de-la-butte-13002.pdf,6 rue de la Butte,13002.0,True,abro_de_deconstruction_2020_01648_vdm-6-rue-de-la-butte-13002.txt
Problème date,"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",2ème arrondissement,8 rue de la Butte   Arrêté de déconstruction du 30/008/2019  - Abrogation de l'arrêté de déconstruction - 17/08/2020,Abrogation de l'arrêté de déconstruction - 17/08/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-deconstruction/abro_de_deconstruction_ndeg2020_01646_vdm-8-rue-de-la-butte-13002.pdf,8 rue de la Butte,13002.0,True,abro_de_deconstruction_ndeg2020_01646_vdm-8-rue-de-la-butte-13002.txt
