classe,arrondissement,item,nom_doc,url,adresse,code_postal
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,4 rue Saint-Pierre : Arrêté de péril du 21/01/2019 - Arrêté modificatif de péril du 24/01/2020,Arrêté modificatif de péril du 24/01/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pgi-modif_4-rue-saint-pierre-13006_2020_00187_vdm.pdf,4 rue Saint-Pierre,13006
Arrêtés de mise en sécurité,6ème arrondissement,28 rue Saint-Suffren : Arrêté de mise en sécurité du 01/06/2021,Arrêté de mise en sécurité du 01/06/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/28-rue-st-suffren-13006_2021_01445.pdf,28 rue Saint-Suffren,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,29 rue Saint Suffren : Arrêté de péril du 25/11/2018 - Main Levée du 19/03/202,Arrêté de péril du 25/11/2018,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/29-rue-saint-suffren-13006_2018_03018.pdf,29 rue Saint Suffren,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,29 rue Saint Suffren : Arrêté de péril du 25/11/2018 - Main Levée du 19/03/202,Main Levée du 19/03/202,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml_29-rue-saint-suffren-13006_2020_00787_vdm.pdf,29 rue Saint Suffren,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,boulevard Louis Salvator : Main levée du 16/09/2020,Main levée du 16/09/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml_7-boulevard-louis-salvator-13006_2020_02039_vdm.pdf,boulevard Louis Salvator,13006
?,6ème arrondissement,14 boulevard Salvator : Arrêté du 10/12/2019 - Abrogation de l'arrêté le 20/10/2020,Arrêté du 10/12/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/ppm_14-boulevard-salvator-13006_2019_04291_vdm.pdf,14 boulevard Salvator,13006
?,6ème arrondissement,14 boulevard Salvator : Arrêté du 10/12/2019 - Abrogation de l'arrêté le 20/10/2020,Abrogation de l'arrêté le 20/10/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Sinistres/ppm-14-bd-salvator-13006_2020_02465.pdf,14 boulevard Salvator,13006
?,6ème arrondissement,80 rue Perrin Solliers : Arrêté du 01/02/2019 – Arrété de mise en sécurité du 04/05/2021,Arrêté du 01/02/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/80-RUE-PERRIN-SOLLIERS-13006_2019_00384.pdf,80 rue Perrin Solliers,13006
Arrêtés de mise en sécurité,6ème arrondissement,80 rue Perrin Solliers : Arrêté du 01/02/2019 – Arrété de mise en sécurité du 04/05/2021,Arrété de mise en sécurité du 04/05/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/80_rue_perrin_solliers-13006_ms_2021_01204_04_mai_2021.pdf,80 rue Perrin Solliers,13006
Arrêtés de mise en sécurité,6ème arrondissement,56 rue Sylvabelle : Arrêté de mise en sécurité du 13/01/2021,Arrêté de mise en sécurité du 13/01/2021,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/msi-56-rue-syvabelle-13006-n-2021_00132.pdf,56 rue Sylvabelle,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,99 rue Tilsit : Arrêté de péril du 05/11/2019 - Arrêté de péril du 04/12/2019 - Arrêté modificatif du 16/09/2020 - Main levée du 02/03/21,Arrêté de péril du 05/11/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/99-rue_de_tilsit_13006_ppm_2019_03839.pdf,99 rue Tilsit,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,99 rue Tilsit : Arrêté de péril du 05/11/2019 - Arrêté de péril du 04/12/2019 - Arrêté modificatif du 16/09/2020 - Main levée du 02/03/21,Arrêté de péril du 04/12/2019,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pgi_99-rue-de-tilsit-13006_2019_03951_vdm.pdf,99 rue Tilsit,13006
?,6ème arrondissement,99 rue Tilsit : Arrêté de péril du 05/11/2019 - Arrêté de péril du 04/12/2019 - Arrêté modificatif du 16/09/2020 - Main levée du 02/03/21,Arrêté modificatif du 16/09/2020,https://www.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pi_99-rue-de-tilsit-13006_modif_2020_02038_vdm.pdf,99 rue Tilsit,13006
"CONSULTEZ LES DERNIERS ARRÊTÉS DE PÉRIL IMMINENT, DE MAIN LEVÉE ET DE RÉINTÉGRATION PARTIELLE DE LA VILLE DE MARSEILLE PAR ARRONDISSEMENT (ORDRE CHRONOLOGIQUE)",6ème arrondissement,99 rue Tilsit : Arrêté de péril du 05/11/2019 - Arrêté de péril du 04/12/2019 - Arrêté modificatif du 16/09/2020 - Main levée du 02/03/21,Main levée du 02/03/21,https://www.marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml-99-rue-de-tilsit-13006_2021_00629.pdf,99 rue Tilsit,13006
